updated;price
2013-10-12;51.5026
2013-10-11;51.547
2013-10-10;51.9182
2013-10-09;51.9229
2013-10-08;51.811
2013-10-05;51.7974
2013-10-04;52.0746
2013-10-03;52.2935
2013-10-02;52.4786
2013-10-01;52.429
2013-09-28;52.0174
2013-09-27;51.7802
2013-09-26;51.0725
2013-09-25;50.9926
2013-09-24;51.175
2013-09-21;50.9657
2013-09-20;50.9439
2013-09-19;51.334
2013-09-18;51.4496
2013-09-17;51.5004
2013-09-14;51.7465
2013-09-13;51.6398
2013-09-12;51.8572
2013-09-11;51.8877
2013-09-10;52.1425
2013-09-07;52.12
2013-09-06;52.0986
2013-09-05;52.1394
2013-09-04;51.9026
2013-09-03;51.7105
2013-08-31;51.5966
2013-08-30;51.4761
2013-08-29;51.4718
2013-08-28;51.4325
2013-08-27;51.3065
2013-08-24;51.5595
2013-08-23;51.7743
2013-08-22;51.6401
2013-08-21;51.5964
2013-08-20;51.4514
2013-08-17;51.5083
2013-08-16;51.2397
2013-08-15;51.203
2013-08-14;51.0938
2013-08-13;50.9087
2013-08-10;51.0654
2013-08-09;51.0341
2013-08-08;50.5294
2013-08-07;50.5482
2013-08-06;50.3377
2013-08-03;50.077
2013-08-02;49.9525
2013-08-01;50.2498
2013-07-31;50.4699
2013-07-30;50.5023
2013-07-27;50.1959
2013-07-26;49.9647
2013-07-25;49.7679
2013-07-24;49.684
2013-07-23;49.4163
2013-07-20;49.402
2013-07-19;49.1246
2013-07-18;48.971
2013-07-17;49.1933
2013-07-16;49.2723
2013-07-13;49.454
2013-07-12;49.1147
2013-07-11;49.0048
2013-07-10;49.5237
2013-07-09;49.635
2013-07-06;49.8935
2013-07-05;50.6062
2013-07-04;50.2824
2013-07-03;50.1922
2013-07-02;49.9576
2013-06-29;49.9139
2013-06-28;50.3571
2013-06-27;50.7193
2013-06-26;50.517
2013-06-25;50.5625
2013-06-22;50.6703
2013-06-21;50.5475
2013-06-20;50.2487
2013-06-19;49.9789
2013-06-18;49.7519
2013-06-15;49.8574
2013-06-14;50.6679
2013-06-12;50.4392
2013-06-11;50.1258
2013-06-08;50.2295
2013-06-07;49.609
2013-06-06;48.983
2013-06-05;48.7289
2013-06-04;48.8647
2013-06-01;48.3264
2013-05-31;47.9083
2013-05-30;47.4696
2013-05-29;47.372
2013-05-28;47.3857
2013-05-25;47.2972
2013-05-24;47.342
2013-05-23;47.3135
2013-05-22;47.5293
2013-05-21;47.6534
2013-05-18;47.8274
2013-05-17;47.7941
2013-05-16;47.7801
2013-05-15;47.8957
2013-05-14;48.2024
2013-05-09;48.1319
2013-05-08;48.2842
2013-05-07;48.379
2013-05-01;48.0892
2013-04-30;48.5592
2013-04-27;48.2031
2013-04-26;47.918
2013-04-25;48.171
2013-04-24;48.2816
2013-04-23;48.063
2013-04-20;48.2132
2013-04-19;48.3687
2013-04-18;47.9255
2013-04-17;48.1361
2013-04-16;48.0001
2013-04-13;47.5623
2013-04-12;47.3381
2013-04-11;47.5595
2013-04-10;47.615
2013-04-09;48.487
2013-04-06;48.0919
2013-04-05;47.812
2013-04-04;47.411
2013-04-03;47.3862
2013-04-02;47.2924
2013-03-30;47.2064
2013-03-29;46.9809
2013-03-28;46.7883
2013-03-27;46.943
2013-03-26;46.879
2013-03-23;46.9586
2013-03-22;46.74
2013-03-21;46.7325
2013-03-20;46.5202
2013-03-19;46.642
2013-03-16;46.4788
2013-03-15;45.9899
2013-03-14;45.8632
2013-03-13;45.8174
2013-03-12;45.9457
2013-03-08;46.0888
2013-03-07;46.3241
2013-03-06;46.379
2013-03-05;46.2513
2013-03-02;46.478
2013-03-01;46.3056
2013-02-28;46.2426
2013-02-27;46.4248
2013-02-26;45.9056
2013-02-23;46.3895
2013-02-22;45.931
2013-02-21;46.4005
2013-02-20;46.6497
2013-02-19;46.6649
2013-02-16;46.7548
2013-02-15;46.6529
2013-02-14;47.0463
2013-02-13;47.2513
2013-02-12;47.5999
2013-02-09;47.4197
2013-02-08;47.0697
2013-02-07;46.8781
2013-02-06;47.3806
2013-02-05;47.0034
2013-02-02;47.6256
2013-02-01;47.4975
2013-01-31;47.3267
2013-01-30;47.3617
2013-01-29;47.3792
2013-01-26;47.4202
2013-01-25;47.778
2013-01-24;47.8468
2013-01-23;47.8712
2013-01-22;48.0995
2013-01-19;48.273
2013-01-18;48.5732
2013-01-17;48.6804
2013-01-16;48.6661
2013-01-15;48.8468
2013-01-12;48.8628
2013-01-11;48.6447
2013-01-10;48.8326
2012-12-30;48.9638
2012-12-29;48.9638
2012-12-28;49.2265
2012-12-27;49.3728
2012-12-26;49.3673
2012-12-25;49.8295
2012-12-22;49.916
2012-12-21;50.0052
2012-12-20;50.0413
2012-12-19;50.2188
2012-12-18;49.7852
2012-12-15;49.5109
2012-12-14;49.4061
2012-12-13;49.4971
2012-12-12;49.4347
2012-12-11;49.4669
2012-12-08;49.733
2012-12-07;49.7106
2012-12-06;49.6567
2012-12-05;49.9096
2012-12-04;49.4371
2012-12-01;49.4763
2012-11-30;49.7246
2012-11-29;49.844
2012-11-28;49.6356
2012-11-27;49.7283
2012-11-24;49.6688
2012-11-23;49.7132
2012-11-22;49.9418
2012-11-21;50.0087
2012-11-20;50.3865
2012-11-17;50.3308
2012-11-16;50.2253
2012-11-15;50.3883
2012-11-14;50.3339
2012-11-13;50.2556
2012-11-10;50.3719
2012-11-09;50.3824
2012-11-08;50.1823
2012-11-07;50.3934
2012-11-03;50.49
2012-11-02;50.5912
2012-11-01;50.4593
2012-10-31;50.6074
2012-10-30;50.5292
2012-10-27;50.7205
2012-10-26;50.2123
2012-10-25;50.0455
2012-10-24;49.8029
2012-10-23;49.5462
2012-10-20;49.4148
2012-10-19;49.526
2012-10-18;49.6838
2012-10-17;49.8005
2012-10-16;49.8788
2012-10-13;49.7222
2012-10-12;49.8854
2012-10-11;49.9508
2012-10-10;49.8275
2012-10-09;49.9574
2012-10-06;50.1197
2012-10-05;50.1173
2012-10-04;50.2074
2012-10-03;50.2861
2012-10-02;50.4561
2012-09-29;50.2245
2012-09-28;50.5142
2012-09-27;50.4799
2012-09-26;50.6581
2012-09-25;50.749
2012-09-22;50.6116
